 Haemophilus ducreyi,B03.440.450.600.450.125
 Sulfuric Acids,D01.029.260.877.800
 Muscle Relaxation,G11.427.590.540.554
 Gastrectomy,E04.210.419
 Cleft Lip,C12.706.316.096.750
 Nitrites,D01.248.497.158.635
 lithium manganese oxide,@130977
 Strigiformes,B01.050.150.900.248.815.550
Dysentery,C01.252.400.310.229
Sharks,B01.050.150.900.493.370.853
Testis,D12.776.260.643.572
 Hematoma,C23.550.414.838.355
 Meningitis,C04.588.614.250.580.150
 Herpes Zoster,D20.215.894.899.290.130.400
 Chlamydia,B03.440.190.190.190.500
 Human Characteristics,F01.510
 Air Movements,G16.500.240.135.249
 Entomology,H01.158.273.943.409
Saints,K01.844.188.466
Rosa,B01.650.940.800.575.100.842.500.750
 Clostridiales,B03.353.625
Sports,I03.450.642.845.834
 Hernia,C16.131.433
 Tocopherols,D03.383.663.283.909.750
 Grief,F01.470.142.110
 Leper Colonies,N02.278.524
 Cations,D01.248.497.300.459
 Vancomycin,B03.353.750.250.250.650
Reading,C10.228.140.490.450
Lysol,@10020
Yellow Fever,D20.215.894.899.970
Physicians,M01.526.485.810.800
 Sri Lanka,Z01.252.245.840
 Phenethylamines,D02.092.471.683
Wound Healing,G16.100.856.891
 Optic Nerve Injuries,C10.292.262.750
 Pan troglodytes,B01.050.150.900.649.801.400.112.400.620
 Immune System,G12.450.800
 Pyoderma Gangrenosum,C17.800.695.675
 Skin Pigmentation,C06.405.469.578
 Dioxanes,D03.383.231.388
 Certolizumab Pegol,D05.750.741.125
 Micronutrients,D018977
 Binding Sites,D12.776.543.750.069.450
 Green Fluorescent Proteins,D12.776.532.265
 Pollen,A18.024.249.500.249.500.500
 Zinc Phosphate Cement,D25.339.291.950
Blood Transfusion,E02.095.135.140.650
 Quilt,@226402
 Hunger,F01.658.293.391
 Gardening,J01.040.895
 Microbiota,G06.755
 Enterobacteriaceae Infections,C01.252.400.310
 Humulus,B01.650.940.800.575.100.175.750
 Bone Screws,E07.695.370.437
United States,I01.409.418.750.500
Household Products,J01.516
 Aliivibrio fischeri,B03.440.450.900.050.860
 Cumulative Trauma Disorders,C26.844.150
 Gastrointestinal Microbiome,G06.755.375
 Benzophenones,D02.455.426.559.389.115.124
Male,D005303
 Anesthesia,D000759
 Myxococcus,B03.660.125.500.605.900
 Memory Disorders,C10.597.606.525
Operon,G05.360.340.024.686.817
Mammoths,B01.050.150.900.649.833.500
 Beetles,B01.050.500.131.617.069
Neoplasms,C04.588.180.788
 Dysmenorrhea,C23.550.568.750
 Vaccination,E02.095.465.425.400.530.890.500
 Infectious Mononucleosis,C02.330
 Citrus aurantiifolia,B01.650.940.800.575.100.875.177.077
 Ambulatory Care,N02.278.035.380
 Muscle Stretching Exercises,E02.779.483.750
 Fumigation,N06.850.780.200.300
 Asymptomatic Infections,C23.550.291.187.500
 Breeding,E05.393.420.238
 Inventors,M01.526.493
 Sorbus,B01.650.940.800.575.100.842.500.793
 New Guinea,Z01.639.760.590.715
 Lymphocytes,A11.063.438.450.300
Pallor,C23.888.885.500
octanoic acid,D02.241.803
Laughter,E02.190.525.311
 Platelet Aggregation,D010975
Whooping Cough,C01.252.400.143.740
Copyright,I01.880.604.583.458.300
 Orthopedic Nursing,H02.478.676.615
 Achillea,B01.650.940.800.575.100.100.037
 Biopsy,Y02.020.010
 Antiviral Agents,D000998
 Religious Missions,K01.844.776
 Speleotherapy,E02.190.894
 montelukast,@200629
 Wrist Joint,A02.835.583.405.930
 Seasons,G01.910.645.661
 Burns,C10.900.300.284.250.250
 Foeniculum,B01.650.940.800.575.100.075.333
 Cities,I01.880.853.400.726
 Germany,Z01.542.315.440
 Durable Medical Equipment,E07.278
 Triallate,D02.241.081.251.869.820
Tooth Loss,C07.465.714.804
 Eucalyptus,B01.650.940.800.575.100.773.366
 Biofilms,G06.120
 Chlortetracycline,D02.455.426.559.847.562.900.146
Transportation,E02.365.839
Tarsal Bones,A02.835.232.043.300.710
 Aloe,B01.650.940.800.575.100.027
 Phenazopyridine,D03.383.725.050.610
 Floods,G16.500.240.135.812
 Citrobacter rodentium,B03.440.450.425.200.737
 DEET,D02.065.277.194
 Mental Disorders,F03.625
 Shiga Toxins,D08.811.277.450.430.700.750.750
 Knee Joint,A02.835.583.475
 Medical Laboratory Science,H02.010.450
 Poverty Areas,I01.880.853.996.535.550
 Neutrophils,A11.118.637.415.583
 Deodorants,D27.720.269.385
 Columbidae,B01.050.150.900.248.165.150
basil oil,@63129
 Esters,D02.705.400.625
 Edema,C11.204.497
 Consciousness,E07.858.195
Language,L01.453.245.945.800
 Insects,B01.050.500.131.617.412.600
Cell Phones,L01.178.847.698.300
 Thiadiazines,D02.886.665.785
 Weevils,B01.050.500.131.617.069.900
 Parasites,Y05.080
Methyltestosterone,D04.808.054.079.429.824.664
 Titanium,E06.645.562.500
 Nasal Cavity,C04.557.465.625.600.590.650.550.150
Zea mays,B01.650.940.800.575.100.822.966
 Platyhelminths,B01.050.500.500.736
 Nisin,D04.345.566.582
 Decapodiformes,B01.050.500.644.116.150
 Depression,F03.600.300.388
 Homicide,I01.198.240.470
 Emigrants and Immigrants,M01.189
 Taste Buds,A03.556.500.885.779
 Bullying,F01.145.126.125.550
 Sarcoma,C04.557.227.500
Drug Tolerance,G07.690.773.992
 Cuminum,B01.650.940.800.575.100.075.233
 Mercury,C10.720.475.600
 Fecal Microbiota Transplantation,E02.095.231
Neurons,A08.511.500
 Water Quality,N06.850.460.350.080.750
 Torpedo,B01.050.150.900.493.370.935
Joints,A02.835.583.475.650
 Urination,C12.777.934
 tetrachloroisophthalonitrile,@227242
 Exanthema,B04.820.095.887.900
 Alcoholism,I01.409.418.750.600.480.467
 Craniofacial Abnormalities,C05.660.207
 Tibia,A02.835.232.043.650.883
Herbicides,D006540
Government,Y06.020
Sociology,F04.096.879.757.400
 Leptospermum,B01.650.940.800.575.100.773.713
 Formates,D02.241.081.420
Mucus,D12.644.822.500
Carbohydrates,D09.301
 Vinyl Chloride,D02.455.326.271.884.750
 Bacteriophages,B04.123.210
 Rain,G16.500.275.157.437.500
 Oxymetazoline,D03.383.129.308.704
 Polycyclic Compounds,D04
 Food Safety,J01.576.423.850.730.500.750
 Translations,H01.770.644.145.675
 Pesticide Residues,D27.720.031.700.672
 Goals,I01.240.600.650
 Microtubules,A11.284.430.214.190.750.602
 Mycophenolic Acid,D02.241.081.193.678
 Phytotherapy,E02.190.755
 rosaniline,D02.092.146.755
 Ceramics,D02.715.312
 Pulmonary Surfactants,D011663
 Decision Making,F02.463.785.373.346.700
 Myalgia,C05.651.542
 Nerve Agents,D27.720.599
 Science,H02.403.830.500
 Telescopes,E07.632.875
 Incineration,N06.850.860.510.900.600.500
 Quarantine,N02.278.421.556.330
 Scurvy,C14.907.454.800
 artemisinine,@227784
 Genomic Instability,C23.550.362
 Rome,Z01.433.850
 Physics,H01.671
 Erythromycin,D08.244.453.400
 Educational Technology,J01.897.280
Foot,E07.858.442.743.659
 Haemophilus influenzae type b,B03.440.450.600.450.330.150
 San Francisco,Z01.107.567.875.580.200.700
Sexual Behavior,F01.145.113.252.748
 Respiratory Function Tests,E01.370.386.700
 glycolic acid,@171530
 Hexoses,D09.546.359
 Lice Infestations,C03.858.211.465
 Reactive Oxygen Species,D01.339.431
Recreation,E02.831.580
 Carbidopa,D02.092.311.200.538.200
 Reverse Transcription,G02.111.087.847.500
 Hepatitis Viruses,B04.280.375.650.460
 Anger Management Therapy,F04.754.137.087
 Hand Strength,E01.370.600.425.500
 Cell Movement,G04.299.283
 Vinca,B01.650.940.800.575.100.081.972
Movement,I03.833
 Archaeal Viruses,B04.100
 Epitopes,D23.050.550.395
 Tennessee,Z01.107.567.875.075.775
 Zoology,H01.158.273.943
 Patch Tests,E01.370.225.812.871.610
 Homeostasis,G04.299.134.220.625
 Elettaria,B01.650.940.800.575.100.975.900.333
 detox adjuvant,@170400
 Klebsiella pneumoniae,B03.440.450.425.425.600
 Enteral Nutrition,E02.421.360
 Nevirapine,D03.383.725.506
 Lipid Metabolism,C18.452.584
 cypermethrin,@137397
 Vitellogenins,D12.776.093.500.925
 Biochemical Processes,G02.111.087
Rare Diseases,C23.550.291.906
 Jealousy,F01.470.653
 Ovulation,E01.370.378.530.775
 Immune System Diseases,C20
 Dermatitis,C17.800.174.600.693
 Laos,Z01.252.145.435
 Mississippi,Z01.107.567.875.750.500
 Translational Medical Research,H01.770.644.145.675
Singing,G09.772.770.680.500
 Texas,Z01.107.567.875.760.750
 Research Design,E05.318.780
 Europe,Z01.252.122.500
 Blood Platelets,A11.118.188
 Buruli Ulcer,C01.252.410.040.552.475.247
 Bacteriophage P22,B04.123.150.700.070
 Guinea Pigs,B01.050.150.900.649.865.550
 Pregnancy Outcome,E01.789.700
 Arthritis,I01.409.418.750.600.480.425
 Tooth Eruption,C07.793.790
 Mesenchymal Stromal Cells,A11.329.830.500
 Intervertebral Disc,C05.116.900.153
 Caregivers,M01.085
 Pyridines,D03.383.725
 Somatotypes,E01.370.600.115.800
 Aircraft,J01.937.285.100
 Enteropathogenic Escherichia coli,B03.440.450.425.325.300.330
 Central America,Z01.107.169
 Queensland,B01.050.500.131.617.289.850
 Fagopyrum,B01.650.940.800.575.100.825.333
 Teucrium,B01.650.940.800.575.100.583.520.948
Homicide,I01.198.240.470
 Eye Pain,C10.597.617.202
 Respiratory System,D019141
 Nervous System Physiological Phenomena,G11.561
 Television,J01.897.280.500.898
 Exercise Test,E01.370.370.380.250
 Splints,C05.651.426
 Donor Selection,E04.936.537.500
 European Continental Ancestry Group,M01.686.508.400
 Tropical Climate,G16.500.275.071.600
 Vasoconstriction,G09.330.190.400.920
 Polynesia,Z01.639.760.815
 Pamphlets,L01.178.682.707
Rosacea,C17.800.716
Serotonin,D058832
 Parasympathetic Nervous System,A08.800.050.600
 Visual Fields,F02.463.593.932.934
 Simplexvirus,D20.215.894.899.290.400
 Lobbying,I01.738.610
 Workplace,I01.198.240.856.912
 Carcinogenesis,C04.697.098
 Ovary,A18.024.249.500
 Triterpenes,D02.455.849.919.530
 Wolves,B01.050.150.900.649.147.153.900
 Parasitic Diseases,C03.701
 Spirochaeta,B03.440.425.410.711.679
 Masturbation,F01.145.802.526
 Milk Thistle,B01.650.940.800.575.100.100.833
Eucalyptus,B01.650.940.800.575.100.773.366
 Nicotine,J01.637.847
 Amber,D05.750.078.840.109
 Sweating,C23.888.119.344.672
 Proteus mirabilis,B03.440.450.425.600.501
 Mandible,C05.116.099.052.400
 Veterans,F01.829.263.435
 Actinobacillus,B03.440.450.009.675
 Humans,C02.782.620.365
 Water Resources,G16.500.275.553.500
 Benzene,D02.455.426.559.389.657.684
 Actinomyces,B03.510.024.049.050.050.050
 Child Care,I01.880.787.293.360
Information Systems,L01.313.500.750.300.361
 Berlin,C18.452.284.600
 Health Priorities,N03.349.330
 Ataxia,D08.811.913.696.620.682.700.097
 Dysbiosis,C23.550.308
 Proteus,B03.440.450.425.600.650
 Guadeloupe,Z01.107.084.900.393
 Triglycerides,C18.452.584.500.500.851.875
 Flavivirus,C02.782.350.250
 Sample Size,E05.318.780.762
 Fingers,C05.651.869.870.800.800
 Elbow,E07.695.400.300
 Cholinergic Antagonists,D018680
Eyeglasses,E07.632.500.300
 Ketones,D02.522.720
 Farmers,C08.381.483.125.365
 Chamomile,B01.650.940.800.575.100.100.195.744
 Tinea Pedis,C01.539.800.200.720.760
 Creativity,F01.752.264
 Coniferophyta,B01.650.940.800.575.400.122
 Forehead,C10.900.300
 Mongolia,Z01.252.474.651
Female,D005300
 Hepatitis B Vaccines,D20.215.894.899.955.400
 Siblings,F01.829.263.500.490
 Patient Care Team,N04.590.715
 Hyperplasia,C05.660.207.325
Meditation,E02.190.525.374
 Valerian,B01.650.940.800.575.100.955.888
 Fever,C02.782.930.100.184
 Prunus dulcis,@31743
 Vaginitis,C13.351.500.894.906.316
 Drug Costs,N03.219.151.400.350
Sumatriptan,D02.065.884.750
 Cancer Care Facilities,N02.278.421.556.070
 Lassa virus,B04.820.057.070.100.500
 Sumatriptan,D02.065.884.750
 degradosome,@71570
 Hepatitis B Surface Antigens,D23.050.327.495.500.475
Migraine with Aura,C10.228.140.546.399.750.250
 Vomiting,C23.550.767.859
 Pregnancy Tests,E01.370.225.812.620
 Colonic Neoplasms,C04.588.274.476.411.307.180
 Facial Expression,E01.370.600.225
 Cloud Computing,L01.224.097
 Pediculus,B01.050.500.131.617.690.060.716
 Pectinidae,B01.050.500.644.080.660
 Driving Under the Influence,F01.145.250.250
 Biomedical Research,H01.770.644.145
 Vegetarians,M01.928
 Octopodiformes,B01.050.500.644.116.600
 Social Work,F04.408.823
 Fluorescence,E01.370.350.589
 Pennsylvania,Z01.107.567.875.075.550
 Global Health,H02.403.371
 Biphenyl Compounds,D02.455.426.559.389.185
 Diabetic Foot,C14.907.320.191
 Body Weight,E01.370.600.115.100.160.120.499
 Panthera,B01.050.150.900.649.147.354.600.800
 Pyrrolidinones,D03.383.773.812
 Consensus,F01.829.316.068
 Seedlings,A18.550
 Peristalsis,G10.261.326.310.596
 Delirium,C10.228.140.807
 Phenazines,D03.494.704
 Phosphoric Monoester Hydrolases,D08.811.277.352.650
 Eyelids,A13.660
 MicroRNAs,D13.150.650.319
 Vasoconstrictor Agents,D014662
 Powders,D26.255.779
 Cetirizine,D03.383.606.515.200
 Prosopagnosia,C10.597.606.762.100.650
 Snake Venoms,D20.888.850
 Cell Death,D12.776.467.150.800
Paralysis,B04.525.165
 Delay Discounting,F02.463.785.373.346.700
 Psychometrics,F04.711.780
 Ambulatory Care Facilities,N02.278.035.380
 zonulin,@197225
 Quebec,Z01.107.567.176.791
 Veterans Health,N01.400.850
 Internship and Residency,I02.358.399.644
molinate,@176957
 Touch,F02.463.593.894
 Insurance,N03.219.521.576.343.071
 Methylamines,D02.092.668
Mental Health,I01.409.418.750.600.650.920
 Nuclear Medicine,Y04.030
 Publishing,L01.737.569
 Health Services Needs and Demand,N03.349.380.420
 Italy,Z01.542.489
 Ice,D08.811.277.656.262.500.126.550.900
 Iatrogenic Disease,C23.550.291.875
 Reye Syndrome,C06.552.241.649
 entecavir,@221070
 Mimiviridae,B04.280.475
 Electronic Cigarettes,J01.637.847.500
 Salivary Glands,A03.556.500.760.650
 Cost of Illness,N03.219.151.165
 Borrelia,B03.440.425.410.711.193.150.125
Migraine Disorders,C10.228.140.546.399.750
 Taurine,D02.455.326.146.100.850.875.925
 Infant Death,C23.550.260.657
Acetates,D03.132.920.256.310
 Illicium,B01.650.940.800.575.100.539
 RNA Interference,G05.355.315.203.374.790
Ilex paraguariensis,B01.650.940.800.575.100.084.500.750
 Sciatic Nerve,C10.668.829.500.675
Temperature,E05.196.401.402.117
 Ligation,E05.393.620.500.487
 Potassium,D049994
 Body Composition,G02.111.097
Diarrhea,B04.820.504.540.150.665
 Anesthesiology,H02.403.066
 Pyocins,D12.776.097.151.785
 Sinus Floor Augmentation,E04.545.668
 Xanthomonas,B03.660.250.915.930.049
 Fusobacterium,B03.370.250.500
 efavirenz,D08.244.453.040.575
 Morinda,B01.650.940.800.575.100.850.566
 Phylogeny,G05.697
 Pulmonary Valve Stenosis,C14.280.484.716
 Goldfish,B04.280.410
 Heart Valve Diseases,C14.280.484
Bedding and Linens,E07.325.137
Lysine,D06.472.699.587.200.400.500
Injections,E02.319.267.530.475.500
Dental Enamel,G10.549.181
 Mentors,M01.395
 Food Preservation,J01.576.423.850.700
Torture,I01.198.240.856.825
 Consensus Sequence,G02.111.570.580.175
Students,M01.848.769.925
 Phenols,D02.455.426.559.389.657
 Uncertainty,E05.318.740.600.900
 Soccer,I03.450.642.845.800
 Taste Perception,F02.463.593.817
 phosphoramidite,@114892
 Sarcoptes scabiei,B01.050.500.131.166.132.419.750.800
 Phosphodiesterase 4 Inhibitors,D058988
 Aquaculture,J01.040.168
 Phanerochaete,B01.300.179.120.760.649
Petasites,B01.650.940.800.575.100.100.596
Charcoal,D01.268.150.150
 Intensive Care Units,N02.278.388.493.390
 Bacteriology,H01.158.273.200.675
 Spices,G07.203.300.250.725
 Respiration Disorders,C08.618
 Reproducibility of Results,E05.318.780.725
 Refugees,N03.540.514.718
 Cataract,C11.510.245.500
 Isoniazid,D02.442.436
 Pinnipedia,B01.050.150.900.649.147.600
 Certification,N04.452.264
 Fathers,I01.880.735.424
 Wilderness,G16.500.275.965
 Transportation,E02.365.839
 Rubus,B01.650.940.800.575.100.842.500.764
 Collagen,D06.472.699.042.249
 Benzoates,D02.092.146.307
 Parvovirus,B04.280.580.650.600.437
 Mentha,B01.650.940.800.575.100.583.520.483.444
 Deglutition,C06.405.117.119
 Body Piercing,E02.218.085.090
 Toothache,C07.793.929
 Dementia,C10.228.140.380.266.299
 Fraxinus,B01.650.940.800.575.100.583.640.374
 Ficus,B01.650.940.800.575.100.750.500
 Calcium Compounds,D01.146
 Cola,B01.650.940.800.575.100.915.166
 Social Workers,M01.526.919
 Sex Education,F04.096.837.500
Hair Follicle,A10.272.497.500
 Eye,D26.776.708.645.500
 Citrus sinensis,B01.650.940.800.575.100.875.177.769
 Parabens,D02.241.223.100.300.460
 RNA Helicases,D08.811.913.696.445.735.720.249
Taste,F02.463.593.817
 Cowpox,B04.280.650.160.650.150
 Hygiene Hypothesis,K01.752.667.875
 Lansoprazole,D02.886.640.074.249.500
 Saints,K01.844.188.466
 Preimplantation Diagnosis,E01.370.378.625
 Ondansetron,D03.383.129.308.690
 Adiposity,E01.370.600.115.100.062.500
 Patient Admission,E02.760.400.600
 Origanum,B01.650.940.800.575.100.583.520.702
 Placenta,C13.703.590.767
 Oils,D20.147
 Financial Management,Y06.010
 Information Storage and Retrieval,L01.313.500.750.280
 Passiflora,B01.650.940.800.575.100.803.500
 Intervertebral Disc Displacement,C05.116.900.307
 Estuaries,G01.311.625.540
 Cadaver,C23.550.260.224.200
Abscess,C01.539.830.025.020.455.730
 Blueberry Plant,B01.650.940.800.575.100.343.774.249
Italy,Z01.542.489
 Continuity of Patient Care,E02.204
 Beverages,G07.203.100.712.500
 Surgical Stapling,E04.987.775.800
 Clostridium tetani,D12.776.097.872
 Interferons,D12.644.276.374.440
 Indian Ocean,Z01.756.342
 Animal Welfare,I01.880.604.100
 Dracunculus Nematode,B01.050.500.500.294.700.750.225.250.250
 Sympathetic Nervous System,A08.800.050.800
 Knee Injuries,C26.558.554
 Suction,E02.065.062.937
 Vitellogenesis,G04.299.151.650.249.880
 Ear Canal,A09.246.272.396
 Audiometry,E01.370.382.375.060.060
 Religion,K01.844.754
 Nervous System Malformations,C10.500
 Nail Diseases,C17.800.529
 Societies,N03.540.162
 Bromine,D01.139
Stomach Neoplasms,C04.588.274.476.767
 Infection Control,E06.470
 Clotrimazole,D03.383.129.308.175
 Bivalvia,B01.050.500.644.080
 Oxygen,N06.850.460.350.080.500
Optic Nerve,C04.557.465.625.600.380.795
 rosemary oil,@110834
 Serologic Tests,E01.370.225.812.735
 Q Fever,C01.252.400.755
 Food Packaging,J01.576.423.200.375
 Antipyretics,D058633
 Respiratory Mucosa,A04.760
 Disaccharides,D09.698.629.305
 Prejudice,F01.145.813.550.500
 Sloths,B01.050.150.900.649.900.750
 Verbena,B01.650.940.800.575.100.583.990.855
 Tattooing,E02.218.085.840
 Castor Oil,B01.650.940.800.575.100.350.650
 Intracranial Hypertension,C10.228.140.631
 Fetus,A16.378.099
 Deafness,C16.320.382.500
 Energy Metabolism,G03.495.335
 England,Z01.107.567.875.550
 Endoplasmic Reticulum,G02.111.087.675.871.790.600.962.500
 Flow Cytometry,E01.370.225.500.363.342
 Appointments and Schedules,N04.452.095
 Cell Cycle Checkpoints,G04.299.134.109.875
 Ukraine,K01.400.504.968.150
 Biological Science Disciplines,H01.158
Publications,V02.500
 Eukaryotic Cells,A11.450
 Saccharomyces cerevisiae,D12.776.354.750.750
Starvation,C18.654.521.750
 Ubiquinone,D05.500.562.249
 Hygiene,N06.850.780.200.412
 Cardiovascular System,A07
Synechocystis,B03.280.750
 Training Support,N03.219.483.838
 Freedom,I01.880.735.950.250.094
 Hand Disinfection,N06.850.780.200.412.500
 Pruritus,C13.351.500.944.626
 Biomedical Engineering,H02.070
 Alprazolam,D03.438.079.080.030
 Manikins,J01.897.280.500.545.129.400
Lewy Bodies,A08.675.460
 Thinness,C23.888.144.828
Confusion,C10.597.606.762.100.300
 Tobacco Smoke Pollution,D20.633.937.680
 Citrates,D01.146.307
 Rectal Neoplasms,C04.588.274.476.411.307.790
 Hypertension,C08.381.423.847
 Prospective Studies,E05.318.760.500.750.625
Ciprofloxacin,D03.438.810.835.322.186
 Yellow Fever,D20.215.894.899.970
Deception,F01.145.813.157
Pedigree,E05.393.673
Cholera Vaccines,D20.215.894.135.225
Infection Control,E06.470
 Food Industry,J01.576.423
 Religion and Psychology,F02.880
 Body Fluids,A12.207
 Pharyngitis,C07.550.781
 Western World,I01.076.201.450.226.800
 Mosquito Nets,E07.700.510.500
Frustration,F04.711.647.622
Internet,L01.224.230.110.500
 Vital Capacity,E01.370.386.700.485.750.900
 Health Services,N02.421.314
 VACA protocol,@45750
Visually Impaired Persons,M01.150.850
 Brachyura,B01.050.500.131.365.190.110
 Emetics,D004639
 Gallium,E07.632.490.480
 Food Additives,D005503
 Indonesia,Z01.252.145.380
 Temporal Lobe,A08.186.211.730.885.287.500.863
 Outpatients,M01.643.630
Football,I03.450.642.845.300
 Thymidine Monophosphate,D03.383.742.686.706.788
 Antibody Formation,G12.425.071
 Raptors,B01.050.150.900.248.815
 Impatiens,B01.650.940.800.575.100.112.500
 Slaves,M01.800
 Venus,B01.650.940.800.575.100.329
 Genie,@36774
 Hong Kong,Z01.252.474.164.450
 Antidotes,D000931
 menthone,@154767
 Synechocystis,B03.280.750
 Gastritis,C06.405.205.697.410
 Plankton,B05.080.500
Nasal Sprays,J01.637.847
 Pleurisy,C01.252.410.040.552.846.877
 Inappropriate Prescribing,E02.319.490
 Taste,F02.463.593.817
 Oral Ulcer,C07.465.672
 Protestantism,K01.844.188.644
becatecarin,@221276
 Bleaching Agents,D058205
Play and Playthings,I03.450.642.693
 Alphaproteobacteria,B03.660.050
 Hydrogen Sulfide,D01.029.260.340
 Gentamicins,D09.408.051.374
 Penicillins,D02.065.589.099.750
 Retrospective Studies,E05.318.760.500.500.500
 Paintings,E01.370.225.500.620.670.325.350.125
 Genomics,H01.158.273.343.350.261
 Central Venous Catheters,E07.132.750.500
 Aquilegia,B01.650.940.800.575.100.838.766
 Bacterial Structures,A20
 Illusions,F02.463.593.446.659
 Anthropology,F04.096.879.201.500
 Boidae,B01.050.150.900.833.672.250
 Induction Chemotherapy,E02.319.499
 Severe Acute Respiratory Syndrome,B04.820.504.540.150.750
 Prenatal Care,E02.760.786
 Acetazolamide,D02.886.675.867.060
 Research,N04.761.559.590.399
 Selegiline,D02.092.471.683.915
 Spinal Cord,A08.675.358.650
 Periapical Periodontitis,C07.320.830.700
 cobalt oxide,@134561
 Reading,C10.228.140.490.450
 Vitamin E,D03.383.663.283.909.750
 Hand Hygiene,N06.850.780.200.412
 Ileum,A03.556.124.684.249
Cell Line,A11.251.210.172.750
 Vitamin K,D08.811.682.690.708.961
 United States Environmental Protection Agency,I01.409.418.750.937
 Prevotella nigrescens,B03.140.094.640.550
Craniomandibular Disorders,C05.500.607.221
 Shewanella,B03.440.450.690.590
Climacteric,G08.686.157.500
Penicillin G,D02.065.589.099.750.750.695
Dancing,C04.588.614.550.600
 cupric sulfide,@227590
 Leukemia,D08.811.913.696.620.682.725.400.009.600
 Food Technology,J01.576.423.850
 Ketolides,D02.540.576.500.992.445
Cyprinidae,B01.050.150.900.493.200.244
 Streptococcus sanguis,B03.353.750.737.872.875.700
 Femininity,F01.145.813.199
 Metagenomics,H01.158.273.343.350.261
 Sulfates,D02.886.645.655.850
 Pulmonary Fibrosis,C08.381.483.487.500
 Morphogenesis,G07.700.320.625
 Courage,F01.470.257
 Sarin,D02.705.429.750.500
 Commerce,J01.219
 Pharmaceutical Services,N02.421.668.475
 Psoriasis,C05.116.900.853.625.800.424
 Steel,D12.644.276.374.410.800
 Cryosurgery,E04.014.180
 Airports,J01.086.339.034
 Picea,B01.650.940.800.575.400.122.666.755
 Urbanization,I01.880.853.400.726
 Shock,G07.700.830.249
 Back Pain,C10.597.617.140.400
 Animals,Y05.070.010
 Sternum,A02.835.232.904.766
 Arnica,B01.650.940.800.575.100.100.075
 Tobacco Mosaic Virus,B04.265.658.850
 Carbon Cycle,G02.607.750.120
 Zidovudine,D03.383.742.680.705.950
 Biological Factors,D23
 Brain Neoplasms,C04.588.614.250.195.205
 Cosmetic Techniques,E02.218
 Prisoners,M01.729.500
Microcephaly,C18.452.284.600
 Qi,E02.190.525.186.500
 Chin,E06.645.562.249
 Prunus domestica,B01.650.940.800.575.100.842.500.625.450
 Filing,L01.453.245.390
 Histamine,D054828
 Materia Medica,D26.526
Allergens,D23.050.181
 Temporal Muscle,A02.633.567.600.850
 Sculpture,K01.093.849
 Acupressure,E02.190.599.750.500
 Thioguanine,D03.438.759.854
 Hypercholesterolemia,C16.320.565.398.483
 Drug Overdose,C25.775.383
 Developmental Disabilities,F03.625.421
 Reverse Transcriptase Inhibitors,D018894
 Sialorrhea,C07.465.815.815
 Physical Therapists,M01.526.485.067.739
 Cacao,B01.650.940.800.575.100.915.144
 Pectobacterium carotovorum,B03.440.450.425.585.120
 Anger,F01.470.093
 Spasm,C10.597.350.700
Russia,Z01.252.122.500
 Turkey,B04.820.069.080
 Synechococcus,B03.280.745
 Hydrochloric Acid,D01.029.260.326
Thigh,A01.378.610.750
Legionella,B03.440.400.425.450.450.400
 Trigeminal Nerve,A08.186.211.132.810.428.600.650.718
 Drug Packaging,E05.916.320
 Synbiotics,G07.203.300.456.716
 Fibrinogen,D12.776.543.750.705.408.495
 Sudan,B04.820.455.300.200
 Botany,H01.158.273.118
 Containment of Biohazards,E05.235
 Leucine,D12.644.360.024.307
 Shallots,B01.650.940.800.575.100.610.100.800
 Complementary Therapies,E02.190
 Exhalation,G09.772.770.755.700.275
 Bone Neoplasms,C04.588.149
 Speech,F03.625.374.500
 Cynara scolymus,B01.650.940.800.575.100.100.269.500
 Personality,F01.752.747.917
 Waiting Lists,N04.452.095.738
 Developed Countries,I01.615.500.250
 Microspheres,E07.565
 Ethnic Groups,M01.686.754
 Streptococcus sobrinus,B03.353.750.737.872.875.750
 Hope,F01.470.572
 Arsphenamine,D02.691.088.050
 Loneliness,F01.470.713
 Fluoxetine,D02.092.831.280
 Mouth Protectors,E06.761.599
Reliance resin cement,@163934
 International Cooperation,I01.615.500
 Bursitis,C05.550.251
 Perception,F02.463.593.504
 Manganese,C10.720.475.500
 Dental Caries,G10.549.140
 Knee Prosthesis,E04.555.110.110.115
Speech,F03.625.374.500
 Garlic,B01.650.940.800.575.100.610.100.300
 Polyenes,D02.455.326.271.665
 Republic of Korea,Z01.252.474.557.500
 Tonsillitis,C07.550.781.750
 Coma,C10.597.606.358.800.200.200
 Blindness,C11.270.516
 Pleura,C04.557.450.565.590.797.750
Forensic Sciences,I01.198.780
 Perfume,D010476
Cortisone,D08.811.682.047.436.174
 Taiwan,Z01.252.474.872
 Free Radicals,D01.339
 Peromyscus,B01.050.150.900.649.865.635.680.510
 Senna Extract,D02.455.426.559.847.117.159.750
 Judicial Role,I01.880.604.583.474
 Goiter,C16.131.894.500.500
 Empathy,F01.752.355
 Humidity,G16.500.275.063.725.310
 Dopamine Agonists,D018491
Basketball,I03.450.642.845.117
 Metatarsophalangeal Joint,A02.835.583.378.531
 Middle East,B04.820.504.540.150.540
 Psychotic Disorders,F03.700
 Fertility,D005303
 raiser,@222186
 Hydrotherapy,E02.779.492
 Dinoprostone,D10.251.355.255.550.250.200
